index,published,keyword,domain,language,valid,title,description,url,image,archive,content,quote,de,en,la,added
d903ae97ca75ee0671a5453d6e6a2592,2026-08-31T23:07:23Z,'Ben Gurion',scilogs.spektrum.de,de,0.9,Mit Konrad Adenauer & David Ben Gurion in Cadenabbia,"Für mich als Arbeiterkind hat es psychologisch sehr viel bedeutet, dass mich die Konrad-Adenauer-Stiftung (KAS) damals nach Wehrdienst und Bankausbildung mit einem Stipendium der Begabtenförderung im Studium unterstützte. Zumal ich dort mit Andreas Püttmann e…",https://scilogs.spektrum.de/natur-des-glaubens/mit-konrad-adenauer-david-ben-gurion-in-cadenabbia/,https://scilogs.spektrum.de/natur-des-glaubens/files/IMG_3581-1024x768.jpeg,,"Für mich als Arbeiterkind hat es psychologisch sehr viel bedeutet, dass mich die Konrad-Adenauer-Stiftung (KAS) damals nach Wehrdienst und Bankausbildung mit einem Stipendium der Begabtenförderung im… [+7203 chars]",,"Mit Konrad Adenauer & David Ben Gurion in Cadenabbia. Für mich als Arbeiterkind hat es psychologisch sehr viel bedeutet, dass mich die Konrad-Adenauer-Stiftung (KAS) damals nach Wehrdienst und Bankausbildung mit einem Stipendium der Begabtenförderung im Studium unterstützte. Zumal ich dort mit Andreas Püttmann e…","With Konrad Adenauer & David Ben Gurion in Cadenabbia. For me, as a working-class child, it meant a lot psychologically that the Konrad-Adenauer-Stiftung (KAS) supported me during my studies with a scholarship from the program for gifted students after military service and banking training. Especially since I was there with Andreas Püttmann…","Apud Conradum Adenauer & Davidem Ben Gurion in Cadenabbia. Mihi, ut puer operarius, multum psychologice significavit quod Konrad-Adenauer-Stiftung (KAS) me in studiis meis sustinuit cum doctrina ex ratione studiosorum praestabilium post militiam et exercitationes argentarias. Praesertim cum ibi essem cum Andrea Püttmann...",2026-09-05 04:14:24+00:00
ba3d1e086dbe7eabc661f29359e13916,2026-08-17T08:13:12Z,'Bezalel Smotrich',www.faz.net,de,0.9,"„jede Nacht 30, 40“: Ben-Gvir fordert gezielte Tötungen im Gazastreifen","Israels Sicherheitsminister Itamar Ben-Gvir fordert, „jede Nacht 30, 40“ Menschen im Gazastreifen zu töten - und kritisiert Ministerpräsident Netanjahu.",https://www.faz.net/aktuell/politik/ausland/ben-gvir-fordert-gezielte-toetungen-im-gazastreifen-accg-201132341.html,https://media0.faz.net/image/w1200h627/0a833559273b/w4836h2526x0y349o/202607/43601.0.2331973435/der-israelische-minister-fuer.webp,http://web.archive.org/web/20260818054743/https://www.faz.net/aktuell/politik/ausland/ben-gvir-fordert-gezielte-toetungen-im-gazastreifen-accg-201132341.html,"Der israelische Minister für nationale Sicherheit hat gezielte Tötungen im Gazastreifen gefordert. Ich denke, dass man gezielte Tötungen in Gaza ausführen sollte, jede Nacht 30, 40 entfernen, sagte I… [+2574 chars]",,"„jede Nacht 30, 40“: Ben-Gvir fordert gezielte Tötungen im Gazastreifen. Israels Sicherheitsminister Itamar Ben-Gvir fordert, „jede Nacht 30, 40“ Menschen im Gazastreifen zu töten - und kritisiert Ministerpräsident Netanjahu.","“30, 40 every night”: Ben-Gvir calls for targeted killings in the Gaza Strip. Israel's Security Minister Itamar Ben-Gvir calls for ""30, 40"" people to be killed in the Gaza Strip every night - and criticizes Prime Minister Netanyahu.","""30, 40 omni nocte"": Ben-Gvir vocat caedes iaculis in Gaza Strip. Minister Securitatis Israelis Itamar Ben-Gvir vocat ""30, 40"" populum in Gaza spoliare omni nocte occidi - et Primus minister Netanyahu reprehendit.",2026-09-07 10:08:33+00:00
6586aa049053050f98dc3a17c299ad15,2026-08-17T23:23:15Z,'Itamar Ben-Gvir',www.zeit.de,de,0.9,Itamar Ben-Gvir: Politiker fordern EU-Sanktionen gegen Israels Minister Ben-Gvir,"Der rechtsextreme israelische Polizeiminister hat dazu aufgerufen, Menschen im Gazastreifen gezielt zu töten. Deutsche Politiker setzen sich für Konsequenzen ein.",https://www.zeit.de/politik/ausland/2026-08/itamar-ben-gvir-forderung-eu-sanktionen-israel,https://img.zeit.de/politik/ausland/2026-08/itamar-ben-gvir-juergen-hardt-sanktionen-eu-israel-foto-1/wide__1300x731,http://web.archive.org/web/20260818000119/https://www.zeit.de/politik/ausland/2026-08/itamar-ben-gvir-forderung-eu-sanktionen-israel,"Der außenpolitische Sprecher der Unionsfraktion im Bundestag, Jürgen Hardt, hat EU-Sanktionen gegen Israels Minister Itamar Ben-Gvir gefordert. Der rechtsextreme israelische Polizeiminister hatte zuv… [+3270 chars]",,"Itamar Ben-Gvir: Politiker fordern EU-Sanktionen gegen Israels Minister Ben-Gvir. Der rechtsextreme israelische Polizeiminister hat dazu aufgerufen, Menschen im Gazastreifen gezielt zu töten. Deutsche Politiker setzen sich für Konsequenzen ein.",Itamar Ben-Gvir: Politicians call for EU sanctions against Israel's minister Ben-Gvir. Israel's right-wing extremist police minister has called for targeted killings of people in the Gaza Strip. German politicians are committed to consequences.,Itamar Ben-Gvir: Politici UE vocant sanctiones contra ministrum Israel Ben-Gvir. Minister vigilum Israelis dextrum cornu extremistarum in Gaza Strip occisiones hominum iaculis vocavit. Consequentiae politici Germanici committuntur.,2026-09-07 10:08:33+00:00
261a1c4c31d8bfd303e957a451e238fb,2026-08-18T06:56:13Z,'Itamar Ben-Gvir',www.sueddeutsche.de,de,0.9,Israel: Israels Polizeiminister fordert mehr Tötungen in Gaza,"Itamar Ben-Gvir verlangt in einem Podcast, jede Nacht 30, 40 Menschen in Gaza zu „entfernen“ - und meint damit nicht nur militante Palästinenser. Mehrere Politiker fordern EU-Sanktionen.",https://www.sueddeutsche.de/politik/israel-polizeiminister-ben-givr-toetungen-gaza-li.3533068,https://www.sueddeutsche.de/2026/08/18/0a4dc846-f31c-4b44-adf9-29c7b5d53853.jpg?q=60&fm=webp&width=1200&rect=0%2C209%2C4000%2C2250,http://web.archive.org/web/20260818192908/https://www.sueddeutsche.de/politik/israel-polizeiminister-ben-givr-toetungen-gaza-li.3533068,"Ich denke, dass man gezielte Tötungen in Gaza ausführen sollte, jede Nacht 30, 40 (Menschen) entfernen, sagte der Vorsitzende der Partei Ozma Jehudit (Jüdische Kraft). Er beziehe sich dabei nicht nur… [+3206 chars]",,"Israel: Israels Polizeiminister fordert mehr Tötungen in Gaza. Itamar Ben-Gvir verlangt in einem Podcast, jede Nacht 30, 40 Menschen in Gaza zu „entfernen“ - und meint damit nicht nur militante Palästinenser. Mehrere Politiker fordern EU-Sanktionen.","Israel: Israel's police minister calls for more killings in Gaza. In a podcast, Itamar Ben-Gvir calls for 30 or 40 people to be “removed” from Gaza every night - and he doesn't just mean militant Palestinians. Several politicians are calling for EU sanctions.","Israel: minister vigilum Israel in Gaza plures caedes vocat. In podcast, Itamar Ben-Gvir vocat 30 vel 40 homines a Gaza omni nocte removendos - et Palaestinos militantes non significat. Plures politici sanctiones UE vocant.",2026-09-07 10:08:33+00:00
fa02ccee341e9be7a5a795b299bab097,2026-08-22T15:15:46Z,'Bezalel Smotrich',www.faz.net,de,0.9,Eklat über Äußerung: Ben-Gvirs Wahlkampfgetöse und der deutsche Theaterdonner,"Die Kritik an Itamar Ben-Gvir nach seiner Forderung, mehr Menschen in Gaza zu töten, trifft nicht den Falschen. Sie verfehlt dennoch den entscheidenden Punkt.",https://www.faz.net/aktuell/politik/ausland/itamar-ben-gvir-und-die-deutsche-israel-diskussion-201137520.html,https://media0.faz.net/image/w1200h627/acad282606b1/w6500h3396x0y130o/202607/43601.0.2351346293/nach-21-jahren-kehren-wir-heim.webp,http://web.archive.org/web/20260822230327/https://www.faz.net/aktuell/politik/ausland/itamar-ben-gvir-und-die-deutsche-israel-diskussion-201137520.html,"Itamar Ben-Gvirs martialische Äußerung, Israel solle im Gazastreifen jede Nacht 30 bis 40 Menschen töten, ist mit einem Wort erklärt: Wahlkampfgetöse. Im Kampf um Stimmen vor der Knessetwahl Ende Okt… [+3217 chars]",,"Eklat über Äußerung: Ben-Gvirs Wahlkampfgetöse und der deutsche Theaterdonner. Die Kritik an Itamar Ben-Gvir nach seiner Forderung, mehr Menschen in Gaza zu töten, trifft nicht den Falschen. Sie verfehlt dennoch den entscheidenden Punkt.","Outcry after statement: Ben-Gvir's election campaign noise and the German theater thunder. The criticism of Itamar Ben-Gvir after his call for more people to be killed in Gaza is not aimed at the wrong people. Still, she misses the crucial point.",Clamor post constitutionem: Ben-Gvir comitia expeditionis strepitum et theatrum Germanicum intonat. Reprehensio Itamar Ben-Gvir post suam vocationem ad plures homines in Gaza occidendos non intendebat homines iniurias. Tamen punctum caret.,2026-09-07 10:08:33+00:00
2ea2c6610b4ed749409eccaa91f809c4,2026-08-18T08:15:09Z,'Israel Katz',www.n-tv.de,de,0.8,Nach Panzerschlacht verschollen: Israel birgt Leiche von jahrzehntelang vermisstem Soldaten,"Im Juni 1982 verschwindet der israelische Obergefreite Jehuda Katz im Libanon-Krieg. Die Leichen zweier seiner Kameraden sind bereits seit Längerem geborgen, nun wird auch Katz' Leichnam gefunden.",https://www.n-tv.de/politik/Israel-birgt-Leiche-von-jahrzehntelang-vermisstem-Soldaten-id31204793.html,https://www.n-tv.de/img/31204858/1787045438/Img_16_9/1200/Israeli-tanks-advance-through-roads-and-fields-in-the-vicinity-of-Marjaayoun-southern-Lebanon-Thursday-June-10-1982-as-Israeli-troops-continue-to-move-northward.jpg,http://web.archive.org/web/20260819102408/https://www.n-tv.de/politik/Israel-birgt-Leiche-von-jahrzehntelang-vermisstem-Soldaten-id31204793.html,"Israelische Panzer rollen 1982 durch den südlichen Libanon. (Foto: picture alliance/AP Images)
Im Juni 1982 verschwindet der israelische Obergefreite Jehuda Katz im Libanon-Krieg. Die Leichen zweier… [+1574 chars]",,"Nach Panzerschlacht verschollen: Israel birgt Leiche von jahrzehntelang vermisstem Soldaten. Im Juni 1982 verschwindet der israelische Obergefreite Jehuda Katz im Libanon-Krieg. Die Leichen zweier seiner Kameraden sind bereits seit Längerem geborgen, nun wird auch Katz' Leichnam gefunden.","Missing after tank battle: Israel recovers body of soldier who was missing for decades. In June 1982, Israeli Corporal Jehuda Katz disappeared during the Lebanon War. The bodies of two of his comrades have been recovered for a long time, and now Katz's body has also been found.","Absentis post pugnam tank: Israel corpus militis qui decenniis defuit, recuperat. Mense Iunio 1982, Israel Corporalis Iuda Katz per Bellum Libanum evanuit. Corpora duorum sociorum diu recepta, et iam Katz corpus etiam inventum est.",2026-09-08 04:22:12+00:00
65ca66d11137ed1353bbc18532c6d7c1,2026-08-16T13:10:16Z,'Israel Katz',www.zeit.de,de,0.9,Luftangriffe im Südlibanon: Israel droht mit weiteren Attacken im Libanon,"Nach israelischen Angriffen im Libanon mit Toten droht Verteidigungsminister Israel Katz der Hisbollah. Sollte diese Israelis gefährden, könne es weitere Angriffe geben.",https://www.zeit.de/politik/ausland/2026-08/libanon-hisbollah-israel-drohung-angriffe-tote,https://img.zeit.de/politik/ausland/2026-08/libanon-sued-hisbollah-israel-angriffe-tote-foto-1/wide__1300x731,,"Die israelische Armee hat weitere mögliche Angriffe gegen die libanesische Hisbollah-Miliz angekündigt, falls diese Israelis gefährde. »Keine Rechnung wird offen bleiben«, teilte Verteidigungsministe… [+1416 chars]",,"Luftangriffe im Südlibanon: Israel droht mit weiteren Attacken im Libanon. Nach israelischen Angriffen im Libanon mit Toten droht Verteidigungsminister Israel Katz der Hisbollah. Sollte diese Israelis gefährden, könne es weitere Angriffe geben.","Air strikes in southern Lebanon: Israel threatens further attacks in Lebanon. After Israeli attacks in Lebanon with deaths, Defense Minister Israel Katz threatens Hezbollah. If this endangers Israelis, there could be further attacks.","Aer in Libano meridionali percutit: Israel longius impetus in Libano minatur. Post Israeles in Libanum cum mortibus oppugnat, minister defensionis Israel Katz Hezbollah minatur. Si hoc periculum Israelis, ulterius impetus fieri possit.",2026-09-08 04:22:12+00:00
a2f8ec61dcb935d95f4c23a3c19df239,2026-08-23T13:10:27Z,'Israel Katz',www.tagesspiegel.de,de,0.9,Drachen im Grenzgebiet zum Gazastreifen: Israels Verteidigungsminister droht Hamas mit Vergeltung,"Man werde jeden Start von Drachen als „Kriegshandlung“ betrachten, erklärte Israel Katz. Er habe das Militär angewiesen, Maßnahmen zu ergreifen, darunter die Tötung von Hamas-Anführern.",https://www.tagesspiegel.de/internationales/drachen-im-grenzgebiet-zum-gazastreifen-israels-verteidigungsminister-droht-hamas-mit-vergeltung-15973453.html,https://www.tagesspiegel.de/images/15973457/alternates/BASE_16_9_W1400/1787489649000/feuerattacken-auf-israel.jpeg,,"Der israelische Verteidigungsminister Israel Katz hat die Armee nach Medienberichten angewiesen, mit aller Härte gegen das Starten von Ballons, Drachen oder Drohnen aus dem Gazastreifen vorzugehen. K… [+2575 chars]",,"Drachen im Grenzgebiet zum Gazastreifen: Israels Verteidigungsminister droht Hamas mit Vergeltung. Man werde jeden Start von Drachen als „Kriegshandlung“ betrachten, erklärte Israel Katz. Er habe das Militär angewiesen, Maßnahmen zu ergreifen, darunter die Tötung von Hamas-Anführern.","Kites in the border area with the Gaza Strip: Israel's defense minister threatens Hamas with retaliation. Any launch of kites will be viewed as an “act of war,” explained Israel Katz. He ordered the military to take measures, including killing Hamas leaders.","Milvi in ​​confinio regio cum Gaza Strip: minister defensionis Israel talionis Hamas minitatur. Quaelibet milvi immissio ""actus belli"" considerabitur ut Israel Katz explicavit. Iussit rem militarem accipere, inter duces Hamas interfecto.",2026-09-08 04:22:12+00:00
3a50adc4ea474e74ff4bd418027740a4,2026-08-18T12:08:42Z,'Zentralrat der Juden',www.welt.de,de,0.8,„Zutiefst beschämend“ – Aussagen von Israel-Minister sorgen für Entsetzen bei Juden in Deutschland,"Zentralrat-Präsident Josef Schuster nennt Ben-Gvirs Forderung nach nächtlichen Massentötungen in Gaza verantwortungslos. Der israelische Polizeiminister hatte erklärt, Palästinenser seien „nicht einmal Menschen“.",https://www.welt.de/politik/ausland/article6a843e73d54f65372fb0cf0a/nicht-einmal-menschen-zutiefst-beschaemend-aussagen-von-israel-minister-sorgen-fuer-entsetzen-bei-juden-in-deutschland.html,https://images.welt.de/6a843e73d54f65372fb0cf0a/583a16350736a0c9a9a1e0785c7f0af8/ci16x9-w1200/dpa-com-260817-935-1547663-jpg,http://web.archive.org/web/20260819204146/https://www.welt.de/politik/ausland/article6a843e73d54f65372fb0cf0a/nicht-einmal-menschen-zutiefst-beschaemend-aussagen-von-israel-minister-sorgen-fuer-entsetzen-bei-juden-in-deutschland.html,"Zentralrat-Präsident Josef Schuster nennt Ben-Gvirs Forderung nach nächtlichen Massentötungen in Gaza verantwortungslos. Der israelische Polizeiminister hatte erklärt, Palästinenser seien nicht einma… [+1880 chars]",,"„Zutiefst beschämend“ – Aussagen von Israel-Minister sorgen für Entsetzen bei Juden in Deutschland. Zentralrat-Präsident Josef Schuster nennt Ben-Gvirs Forderung nach nächtlichen Massentötungen in Gaza verantwortungslos. Der israelische Polizeiminister hatte erklärt, Palästinenser seien „nicht einmal Menschen“.",“Deeply shameful” – statements by Israel minister cause horror among Jews in Germany. Central Council President Josef Schuster calls Ben-Gvir's call for mass killings at night in Gaza irresponsible. The Israeli police minister had declared that Palestinians were “not even human.”,"“Furissime” – constitutiones Israelis ministri horrorem faciunt apud Iudaeos in Germania. Praeses Consilii Centralis Josef Schuster vocatum Ben-Gvir ad caedes nocturnas Gazae inofficiosas missas vocat. Minister vigilum Israelis Palaestinos ""ne quidem homines"" esse declaraverat.",2026-09-09 11:53:40+00:00
05b1c74269708ce6864a34bfb57abeee,2026-08-19T06:51:00Z,'Zentralrat der Juden',www.focus.de,de,0.8,Charlotte Knobloch über AfD: „In vielen Bereichen kein Unterschied mehr zur NSDAP”,Die AfD bekommt Zulauf wie nie zuvor. Die ehemalige Präsidentin des Zentralrates der Juden fühlt sich an dunkle Zeiten erinnert.,https://www.focus.de/politik/deutschland/charlotte-knobloch-ueber-afd-in-vielen-bereichen-kein-unterschied-mehr-zur-nsdap_c94e9393-8d27-49cd-9e99-3b027728e9b7.html,"https://quadro.burda-forward.de/ctf/9feede78-2105-4368-9756-09ae634f6d4b.2261afb8-7fdc-4321-89c6-078736f4c0b3.jpeg?im=RegionOfInterestCrop=(1200,630),regionOfInterest=(1024,703)&hash=fa3970476e4736f7d1f9f2b62a194f287b4eb4855780594fd07638751f22fa89",http://web.archive.org/web/20260820002418/https://www.focus.de/politik/deutschland/charlotte-knobloch-ueber-afd-in-vielen-bereichen-kein-unterschied-mehr-zur-nsdap_c94e9393-8d27-49cd-9e99-3b027728e9b7.html,"Charlotte Knobloch, Vorsitzende der Israelitischen Kultusgemeinde für München und Oberbayern, zieht Vergleiche zwischen der AfD und der NSDAP. Dem Magazin Stern sagte die 93-Jährige: Natürlich sahen … [+1990 chars]",,Charlotte Knobloch über AfD: „In vielen Bereichen kein Unterschied mehr zur NSDAP”. Die AfD bekommt Zulauf wie nie zuvor. Die ehemalige Präsidentin des Zentralrates der Juden fühlt sich an dunkle Zeiten erinnert.,Charlotte Knobloch on AfD: “In many areas there is no longer any difference to the NSDAP”. The AfD is gaining popularity like never before. The former president of the Central Council of Jews is reminded of dark times.,"Charlotte Knobloch in AfD: ""In multis locis nulla iam differentia ad NSDAP"". AfD popularis quasi numquam antea. Ille praeses Concilii Centralis Iudaeorum tenebris temporum admonitus est.",2026-09-09 11:53:40+00:00
