,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
Gaza,Gaza,LOC,-0.70909091,0.27272727,de,5.50000000,4092680-1,-1.00000000,,,,EUROPE-AFRICA,Palestinian Territory,MED
Israel,Israel,LOC,-0.51923077,0.19230769,de,5.20000000,4027808-6,-1.00000000,,,,EUROPE-AFRICA,Israel,MED
Gazastreifen,Gazastreifen,LOC,0.00000000,0.00000000,de,3.40000000,4019325-1,-1.00000000,,,,EUROPE-AFRICA,Palestinian Territory,MED
Israelis,Israelis,LOC,-0.35714286,0.35714286,de,2.80000000,,0.00000000,,,,,,
Libanon,Libanon,LOC,-0.74074074,0.00000000,de,2.70000000,4035567-6,-1.00000000,,,,EUROPE-AFRICA,Lebanon,MED
Iran,Iran,LOC,-0.38461538,0.00000000,de,2.60000000,4027653-3,-1.00000000,,,,ASIA,Iran,WCA
Südlibanon,Südlibanon,LOC,-1.00000000,0.00000000,de,1.00000000,,0.00000000,,,,,,
Hamas,Hamas,LOC,0.00000000,0.00000000,de,1.00000000,4089137-9,-1.00000000,,,,EUROPE-AFRICA,Syria,MED
Rom Braslavski,Rom Braslavski,LOC,0.00000000,0.00000000,de,1.00000000,,0.00000000,,,,,,
Hamas-Geisel,Hamas-Geisel,LOC,0.00000000,0.00000000,de,1.00000000,,0.00000000,,,,,,
Deutschlands,Deutschlands,LOC,0.00000000,0.00000000,de,1.00000000,,-1.00000000,,,,EUROPE,Germany,WCE
Katz,Katz,LOC,0.00000000,0.00000000,de,1.00000000,,0.00000000,,,,,,
israelische Regierung,israelische Regierung,LOC,0.00000000,0.00000000,de,1.00000000,,0.00000000,,,,,,
Cadenabbia,Cadenabbia,LOC,0.00000000,0.00000000,de,1.00000000,4277115-8,-1.00000000,,,,EUROPE,Italy,WCE
Wahlkampfgetöse,Wahlkampfgetöse,LOC,-1.00000000,0.00000000,de,1.00000000,,0.00000000,,,,,,
Israels,Israels,LOC,0.00000000,0.00000000,de,1.00000000,,-1.00000000,,,,NORTH-AMERICA,United States,ENA
Okt…,Okt…,LOC,0.00000000,0.00000000,de,1.00000000,,0.00000000,,,,,,
Ben-Gvirs Wahlkampfgetöse,Ben-Gvirs Wahlkampfgetöse,LOC,0.00000000,0.00000000,de,1.00000000,,0.00000000,,,,,,
Eklat,Eklat,LOC,0.00000000,0.00000000,de,1.00000000,,0.00000000,,,,,,
Palästinensern,Palästinensern,LOC,0.00000000,0.00000000,de,1.00000000,,0.00000000,,,,,,
Katz' Leichnam,Katz' Leichnam,LOC,0.00000000,0.00000000,de,1.00000000,,0.00000000,,,,,,
Netanjahu,Netanjahu,LOC,-1.00000000,0.00000000,de,1.00000000,,0.00000000,,,,,,
US-Präsident,US-Präsident,LOC,0.00000000,0.00000000,de,1.00000000,,0.00000000,,,,,,
11,,,,,,,,4832418.00000000,T,43.24398,-70.58866,,United States,
