,phrase,label,sentiment,subjectivity,language,count
israelische,israelische,MISC,,,de,6.8999999999999995
“,“,MISC,,,de,3.6999999999999997
israelischen,israelischen,MISC,,,de,1.9
Libanon-Krieg,Libanon-Krieg,MISC,,,de,1.8
Ben…,Ben…,MISC,,,de,1.0
Angriff auf Israel,Angriff auf Israel,MISC,,,de,1.0
l.,l.,MISC,,,de,1.0
Zwangsumsiedlung…,Zwangsumsiedlung…,MISC,,,de,1.0
Israelischer Minister,Israelischer Minister,MISC,,,de,1.0
deutsche,deutsche,MISC,,,de,1.0
picture alliance/AP Images,picture alliance/AP Images,MISC,,,de,1.0
israelischem,israelischem,MISC,,,de,1.0
Israelische,Israelische,MISC,,,de,1.0
Unionsfraktion,Unionsfraktion,MISC,,,de,1.0
Deutsche,Deutsche,MISC,,,de,1.0
Israels Minister Ben-Gvir,Israels Minister Ben-Gvir,MISC,,,de,1.0
Ben-Gvir,Ben-Gvir,MISC,,,de,1.0
iranischen,iranischen,MISC,,,de,1.0
