,phrase,label,sentiment,subjectivity,language,count
EU-Sanktionen,EU-Sanktionen,ORG,0.0,0.0,de,2.8
KAS,KAS,ORG,0.18421052631578946,0.5263157894736842,de,1.9
Konrad-Adenauer-Stiftung,Konrad-Adenauer-Stiftung,ORG,0.18421052631578946,0.5263157894736842,de,1.9
Zentralrat der Juden,Zentralrat der Juden,ORG,0.0,0.0,de,1.9
Anadolu,Anadolu,ORG,0.0,0.0,de,1.8
picture alliance,picture alliance,ORG,0.0,0.0,de,1.8
Hisbollah,Hisbollah,ORG,-1.0,0.0,de,1.0
Militär,Militär,ORG,0.0,0.0,de,1.0
tö…,tö…,ORG,0.0,0.0,de,1.0
K…,K…,ORG,0.0,0.0,de,1.0
Zentralrat der Juden in Deutschland,Zentralrat der Juden in Deutschland,ORG,0.7,0.0,de,1.0
israelische Armee,israelische Armee,ORG,0.0,0.0,de,1.0
Jüdische Kraft,Jüdische Kraft,ORG,-0.7,0.0,de,1.0
Ozma Jehudit,Ozma Jehudit,ORG,-0.7,0.0,de,1.0
Bundestag,Bundestag,ORG,0.0,0.0,de,1.0
Verteidigungsministe…,Verteidigungsministe…,ORG,0.0,0.0,de,1.0
libanesische Hisbollah-Miliz,libanesische Hisbollah-Miliz,ORG,0.0,0.0,de,1.0
israe…,israe…,ORG,0.0,0.0,de,1.0
