,phrase,label,sentiment,subjectivity,language,count
Itamar Ben-Gvir,Itamar Ben-Gvir,PER,-0.125,0.078125,de,6.4
Israel Katz,Israel Katz,PER,-0.35714285714285715,0.0,de,2.8
Israels Sicherheitsminister Itamar Ben-Gvir,Israels Sicherheitsminister Itamar Ben-Gvir,PER,-1.0526315789473684,0.0,de,1.9
Christoph Heusgen,Christoph Heusgen,PER,0.5263157894736842,0.5263157894736842,de,1.9
Jehuda Katz,Jehuda Katz,PER,0.0,0.0,de,1.8
Jürgen Hardt,Jürgen Hardt,PER,0.0,0.0,de,1.0
Israels Minister Itamar Ben-Gvir ,Israels Minister Itamar Ben-Gvir ,PER,0.0,0.0,de,1.0
Israels Polizeiminister,Israels Polizeiminister,PER,0.0,1.0,de,1.0
Itamar Ben-Gvirs,Itamar Ben-Gvirs,PER,-1.0,0.0,de,1.0
Konrad Adenauer,Konrad Adenauer,PER,0.0,0.0,de,1.0
David Ben Gurion,David Ben Gurion,PER,0.0,0.0,de,1.0
Andreas Püttmann e,Andreas Püttmann e,PER,0.0,1.0,de,1.0
