,Organisations,Persons,Companies,Places,Topics,Invalid
2026-08-16,0.0,0.9,0,0,0,0.0
2026-08-17,0.0,1.8,0,0,0,0.0
2026-08-18,3.5,1.7000000000000002,0,0,0,0.0
2026-08-19,0.9,0.9,0,0,0,1.2
2026-08-21,0.0,0.0,0,0,0,0.9
2026-08-22,0.0,0.9,0,0,0,0.0
2026-08-23,0.0,0.9,0,0,0,0.0
2026-08-28,0.0,0.0,0,0,0,0.7
2026-08-31,0.0,0.9,0,0,0,0.0
2026-09-02,0.0,0.8,0,0,0,0.0
2026-09-03,0.0,1.7000000000000002,0,0,0,0.0
2026-09-04,0.0,0.9,0,0,0,0.0
2026-09-06,0.0,0.0,0,0,0,2.3
2026-09-07,0.0,0.9,0,0,0,0.0
2026-09-09,0.0,0.9,0,0,0,0.0
