,summary,Places,Persons,Companies,Topics,word
summaryOfAllWords,1155.6662048244934,0.0,1155.6662048244934,0.0,0.0,
Luftangriffe,1.261570083595366,0.0,0.0,0.0,0.0,Luftangriffe
Südlibanon,1.368033988749895,0.0,0.0,0.0,0.0,Südlibanon
luft+angriff+e südlibanon,1.368033988749895,0.0,0.0,0.0,0.0,luft+angriff+e südlibanon
Israel,9.37917165530152,0.0,0.0,0.0,0.0,Israel
südlibanon israel,1.724744871391589,0.0,0.0,0.0,0.0,südlibanon israel
droht,2.70096808860467,0.0,0.0,0.0,0.0,droht
israel droh+t,1.4423493456005922,0.0,0.0,0.0,0.0,israel droh+t
weiteren,1.3219469739499228,0.0,0.0,0.0,0.0,weiteren
droh+t weit+er+en,1.3219469739499228,0.0,0.0,0.0,0.0,droh+t weit+er+en
Attacken,1.2700364545299538,0.0,0.0,0.0,0.0,Attacken
weit+er+en attacke+n,1.2700364545299538,0.0,0.0,0.0,0.0,weit+er+en attacke+n
Libanon,1.6448819276082354,0.0,0.0,0.0,0.0,Libanon
attacke+n libanon,1.2286884531546538,0.0,0.0,0.0,0.0,attacke+n libanon
Nach,1.4485453076274928,0.0,0.0,0.0,0.0,Nach
libanon nach,1.209794585140631,0.0,0.0,0.0,0.0,libanon nach
israelischen,1.7932920211511514,0.0,0.0,0.0,0.0,israelischen
nach israelisch+en,1.2001286528477193,0.0,0.0,0.0,0.0,nach israelisch+en
Angriffen,1.6174999671609656,0.0,0.0,0.0,0.0,Angriffen
israelisch+en angriff+en,1.187114049197106,0.0,0.0,0.0,0.0,israelisch+en angriff+en
angriff+en libanon,1.2286884531546538,0.0,0.0,0.0,0.0,angriff+en libanon
Toten,1.2402851581754524,0.0,0.0,0.0,0.0,Toten
libanon tot+en,1.2402851581754524,0.0,0.0,0.0,0.0,libanon tot+en
tot+en droh+t,1.4423493456005922,0.0,0.0,0.0,0.0,tot+en droh+t
Verteidigungsminister,2.411900687714425,0.0,0.0,0.0,0.0,Verteidigungsminister
droh+t verteidigung+s+minister,1.2897870797728963,0.0,0.0,0.0,0.0,droh+t verteidigung+s+minister
verteidigung+s+minister israel,2.414213562373095,0.0,0.0,0.0,0.0,verteidigung+s+minister israel
Katz,7.449489742783178,0.0,0.0,0.0,0.0,Katz
israel katz,5.0,0.0,0.0,0.0,0.0,israel katz
Hisbollah,1.4075492390221336,0.0,0.0,0.0,0.0,Hisbollah
katz hisbollah,1.4075492390221336,0.0,0.0,0.0,0.0,katz hisbollah
Sollte,1.3572264454149403,0.0,0.0,0.0,0.0,Sollte
Israelis,3.3788304419692494,0.0,0.0,0.0,0.0,Israelis
soll+te israeli+s,1.724744871391589,0.0,0.0,0.0,0.0,soll+te israeli+s
gefährden,1.4075492390221336,0.0,0.0,0.0,0.0,gefährden
israeli+s gefährd+en,1.4075492390221336,0.0,0.0,0.0,0.0,israeli+s gefährd+en
könne,1.301450051802961,0.0,0.0,0.0,0.0,könne
gefährd+en könn+e,1.301450051802961,0.0,0.0,0.0,0.0,gefährd+en könn+e
weitere,1.416909396700788,0.0,0.0,0.0,0.0,weitere
könn+e weit+er+e,1.257626296283255,0.0,0.0,0.0,0.0,könn+e weit+er+e
Angriffe,1.397136706734506,0.0,0.0,0.0,0.0,Angriffe
weit+er+e angriff+e,1.231428969682833,0.0,0.0,0.0,0.0,weit+er+e angriff+e
geben,1.209794585140631,0.0,0.0,0.0,0.0,geben
angriff+e geb+en,1.209794585140631,0.0,0.0,0.0,0.0,angriff+e geb+en
Die,2.797339972469601,0.0,0.0,0.0,0.0,Die
israelische,3.99786084491088,0.0,0.0,0.0,0.0,israelische
der israelisch+e,2.330746095838667,0.0,0.0,0.0,0.0,der israelisch+e
Armee,1.5255856796737675,0.0,0.0,0.0,0.0,Armee
israelisch+e armee,1.1739428205774014,0.0,0.0,0.0,0.0,israelisch+e armee
armee weit+er+e,1.1632177520764035,0.0,0.0,0.0,0.0,armee weit+er+e
mögliche,1.160369125641414,0.0,0.0,0.0,0.0,mögliche
weit+er+e möglich+e,1.160369125641414,0.0,0.0,0.0,0.0,weit+er+e möglich+e
möglich+e angriff+e,1.169403884486951,0.0,0.0,0.0,0.0,möglich+e angriff+e
libanesische,1.1949353309532835,0.0,0.0,0.0,0.0,libanesische
angriff+e libanesisch+e,1.1949353309532835,0.0,0.0,0.0,0.0,angriff+e libanesisch+e
Hisbollah-Miliz,1.2210185845689039,0.0,0.0,0.0,0.0,Hisbollah-Miliz
libanesisch+e hisbollah+-+miliz,1.2210185845689039,0.0,0.0,0.0,0.0,libanesisch+e hisbollah+-+miliz
angekündigt,1.2745917235953579,0.0,0.0,0.0,0.0,angekündigt
hisbollah+-+miliz an+ge+kündig+t,1.2745917235953579,0.0,0.0,0.0,0.0,hisbollah+-+miliz an+ge+kündig+t
falls,1.368033988749895,0.0,0.0,0.0,0.0,falls
an+ge+kündig+t falls,1.368033988749895,0.0,0.0,0.0,0.0,an+ge+kündig+t falls
falls israeli+s,1.724744871391589,0.0,0.0,0.0,0.0,falls israeli+s
gefährde,1.4075492390221336,0.0,0.0,0.0,0.0,gefährde
israeli+s gefährd+e,1.4075492390221336,0.0,0.0,0.0,0.0,israeli+s gefährd+e
Keine,1.301450051802961,0.0,0.0,0.0,0.0,Keine
Rechnung,1.2700364545299538,0.0,0.0,0.0,0.0,Rechnung
kein+e rechnung,1.2700364545299538,0.0,0.0,0.0,0.0,kein+e rechnung
offen,1.5318418233702158,0.0,0.0,0.0,0.0,offen
rechnung offen,1.22348847792544,0.0,0.0,0.0,0.0,rechnung offen
bleiben,1.209794585140631,0.0,0.0,0.0,0.0,bleiben
offen bleib+en,1.209794585140631,0.0,0.0,0.0,0.0,offen bleib+en
teilte,1.1916903562188548,0.0,0.0,0.0,0.0,teilte
bleib+en teil+te,1.1916903562188548,0.0,0.0,0.0,0.0,bleib+en teil+te
Verteidigungsministe…,1.1814944390374962,0.0,0.0,0.0,0.0,Verteidigungsministe…
teil+te verteidigungsministe…,1.1814944390374962,0.0,0.0,0.0,0.0,teil+te verteidigungsministe…
+1416,1.1567937023130042,0.0,0.0,0.0,0.0,+1416
verteidigungsministe… +1416,1.1567937023130042,0.0,0.0,0.0,0.0,verteidigungsministe… +1416
chars,3.9537336132369085,0.0,0.0,0.0,0.0,chars
+1416 char+s,1.1518535150539224,0.0,0.0,0.0,0.0,+1416 char+s
Nacht,5.427404071498692,0.0,0.0,0.0,0.0,Nacht
Ben-Gvir,17.328560760366134,0.0,0.0,0.0,0.0,Ben-Gvir
nacht ben-gvir,2.66296039129913,0.0,0.0,0.0,0.0,nacht ben-gvir
fordert,3.759023721753768,0.0,0.0,0.0,0.0,fordert
ben-gvir forder+t,3.086777371020024,0.0,0.0,0.0,0.0,ben-gvir forder+t
gezielte,2.8945556658155978,0.0,0.0,0.0,0.0,gezielte
forder+t ge+ziel+t+e,1.9326576695165043,0.0,0.0,0.0,0.0,forder+t ge+ziel+t+e
Tötungen,3.553558690426149,0.0,0.0,0.0,0.0,Tötungen
ge+ziel+t+e tötung+en,2.814557289083745,0.0,0.0,0.0,0.0,ge+ziel+t+e tötung+en
