keyword,language,topic,topicColor,keywordColor,limitPages,ratioNew
'Ofer Gefängnis',de,Places,#00ff00,#00ff00,1,0.835496425
'Itamar Ben-Gvir',de,Persons,#ff0000,#ff0000,1,0.804913
'Ofer Prison',en,Places,#00ff00,#00ff00,1,0.735496425
'Bezalel Smotrich',de,Persons,#ff0000,#ff0000,2,0.69552866105
'Benjamin Nethanjahu',de,Persons,#ff0000,#ff0000,1,0.692826065
'Israel Katz',de,Persons,#ff0000,#ff0000,2,0.688252040851409
'Ron Prosor',de,Persons,#ff0000,#ff0000,1,0.6647538110500001
'Jassir Arafat',de,Persons,#ff0000,#ff0000,1,0.636910515
'Francesca Albanese',de,Persons,#ff0000,#ff0000,1,0.61377395275
'Ben Gurion',de,Persons,#ff0000,#ff0000,1,0.5255335098982143
'Elbit Systems',de,Companies,#0000ff,#0000ff,1,0.492282619925
'Golda Meir',de,Persons,#ff0000,#ff0000,1,0.49121413
'Sde Teiman',de,Places,#00ff00,#00ff00,1,0.421150605
'Nakba',de,Topics,#00ff00,#00ff00,1,0.420714884645
'Meir Amit',de,Persons,#ff0000,#ff0000,1,0.420360105
'adidas Israel',de,Companies,#0000ff,#0000ff,1,0.8492282619925
'Zentralrat der Juden',de,Organisations,#ff00ff,#ff00ff,1,0.81492282619925
